Constituency|Project_No|Ward|Project_Name|Sector|Scope_of_Work|Quantity|Location|Proposed_Date|Duration|Engineers_Estimate_ZMW|Approved_Amount_ZMW|Justification|Source_File
Kantanshi|28||SPREADING, WATERING AND COMPACTION COMPACTION|ROADS|spreading, watering and compaction compaction ROADS Clearing and grubbing, road ROAD & SECTION K LEYA Clearing and grubbing, road formation 350,000.00 200,000.00 REHABILITATION formation (wet formation), CONSTRUCT MUKUTU (wet formation), compaction, dumping compaction, dumping of laterite, ION of laterite, spreading, watering and|||||350000.00|200000.00||Kantanshi-Comm-Projects.pdf
Kantanshi|29||SPREADING, WATERING AND COMPACTION COMPACTION|ROADS|spreading, watering and compaction compaction ROADS Clearing and grubbing, road Minambe Clearing and grubbing, road formation 440,000.00 REHABILITATION formation (wet formation), (wet formation), compaction, dumping||||||440000.00||Kantanshi-Comm-Projects.pdf
Kantanshi|30||compaction, dumping of laterite, of laterite, spreading, watering and spreading,||compaction, dumping of laterite, of laterite, spreading, watering and spreading, watering and compaction compaction 45,746,000.00 : UA 40796, MUPULIRA||||||45746000.00||Kantanshi-Comm-Projects.pdf
Kantanshi|0||SSS SHOT Re erate. geet ges oe vyen tee J LIRA MUNICIPAL POUNCIL||SSS SHOT Re erate. geet ges oe vyen tee J LIRA MUNICIPAL POUNCIL||||||||Kantanshi-Comm-Projects.pdf
Kantanshi|08||DEC 2025 OWN CLERK||DEC 2025 OWN CLERK||||||||Kantanshi-Comm-Projects.pdf
Kankoyo|8|LUANSOBE|"KANGWA NSULUJDRILLING OF SOLAR | WATER & DRILL SOLAR POWERED BOREHOLE DRILLING,"|EDUCATION|"KANGWA NSULUJDRILLING OF SOLAR | WATER & DRILL SOLAR POWERED Borehole drilling, installation of RIVERSIDE | 12 weeks 300,000.00 300,000.00 | There was no availability of water in the area POWERED BOREHOLE | SANITATION BOREHOLE submersible pump, construction of a |NEW PLOTS hence, the need for the borehole to be drilled steel tank stand, pipe work and in the area so that people can have access electrical(solar) installations to water 9|LUANSOBE CONSTRUCTION OF AN | EDUCATION CONSTRUCTION OF AN Excavations, substructure, MUYA 20 weeks 650,000.00 650,000.00 | There were no decent toilets at the school Reece Mayn AL ABLUTION BLOCK AT superstructure work, roofing, PRIMARY hence, the need for an ablution block to be PRIMARY SCHOOL 16.5mx5.6m MUYA PRIMARY electricals, metal work, Carpentry and |SCHOOL built so that Learners can have decent SCHOOL Joinery, finishes, painting, plumbing toilets. and external work 10|LUANSOBE CONSTRUCTION OF AN | EDUCATION CONSTRUCTION OF AN Excavations, substructure, NSATO 20 weeks 650,000.00 650,000.00 | There were no decent toilets at the school Re SaeSGHTNEaRe AT ABLUTION BLOCK AT superstructure work, roofing, PRIMARY hence, the need for an ablution block to be PRIMARY SCHOOL 16.5mx5.6m Nsato PRIMARY electricals, metal work, Carpentry and | SCHOOL built so that Learners can have decent SCHOOL Joinery, finishes, painting, plumbing toilets. 11|LUANSOBE COMPLETION OF AN EDUCATION COMPLETION OF AN ABLUTION |Plumbing works , soakway and septic |SALUMINGO |12 weeks 220,000.00 170,000.00 |The Ablution Block being constructed at the ee Disc reneny BLOCK AT SALUMINGO tank and electricals PRIMARY school was not completed hence, the need SCHOOL PRIMARY SCHOOL SCHOOL for it to be completed so that the school has [ decent toilets"||||12 WEEKS|300000.00|300000.00||Kankoyo-Comm-Projects.pdf
Kankoyo|12|LUANSOBE||ROAD & CONSTRUCTION|"LUANSOBE CONSTRUCTION OF A MARKET & BUS CONSTRUCTION OF A MARKET|CONSTRUCTION OF A 15X10 M LUANSOBE [26 weeks 2,999,341 .80 1,980,000.00 | There was no market, ablution block and eee on Bicone sun [STATIONS AT LUANSOBE, ABLUTION MARKET OF 36 CAPACITY water reticulation in the area hence, the WATER RETICULATION BLOCK AND WATER Excavations, substructure, need for these to be built so that people in SYSTEM (15X10M RETICULATION SYSTEM superstructure work, roofing, the community can have a market and MARKET OF 36 (15X10M MARKET OF 36 electricals, metal work,plumbing, access to clean sanitation. CAPACITY) CAPACITY) Carpentry, and Joinery, glazing, finishes, painting, plumbing works and external work,Borehole drilling, installation of submersible pump, construction of a steel tank stand, pipe work and electrical(solar) installations 13] LUANSOBE Desks at Luasobe EDUCATION Procurement of 90 desks Procurement of 90 desks Luasobe 12 weeks 198,000.00 198,000.00 |The desks at the school were not enough for combined’ schoo! combined the pupils there hence, the need for school procurement of desks so that the school has enough desks to cater for all the pupils. 14|LUANSOBE Desks at Luasobe EDUCATION Procurement of 60 desks Procurement of 60 desks Luasobe 12 weeks 132,000.00 132,000.00 |The desks that the school had were not community school community enough to cater for all the pupils at the school school hence, the need for procurement of desks so that the school has enough desks for all the pupils. 15|BUNTUNGWA _ {CONSTRUCTION OF AN |EDUCATION CONSTRUCTION OF AN Excavations, substructure, CHIBOLYA —|20 weeks 550,000.00 |The school had no decent toilets for the pone aa Bue ABLUTION BLOCK superstructure work, roofing, PRIMARY pupils hence, the need for an ablution block Chibolya Primary School electricals, metal work, Carpentry and |SCHOOL to be built so that pupils can have access to Joinery, finishes, painting, plumbing clean, decent toilets : and external work. 16|BUNTUNGWA _ |CONSTRUCTION OF ROAD & CONSTRUCTION OF Excavations, formwork,Stone CHIBOLYA 24 weeks 1,850,000.00 850,000.00 |Chibolya had no drainages for good Feet DRAINAGE in CONSTRUCTION DRAINAGES pitching, Copping and grouting passage of water hence, the need for construction of drainages so that there will no longer be flooding incidents and water stagnation in the community. 17|BUNTUNGWA __ {PAVING OF 400m2 at MARKET & BUS PAVING OF CHIBOLYA Earth works, paving and kerb stone CHIBOLYA 25 weeks 3,174,000.00 800,000.00 |Chibolya had... CORP RE ANA nERREy [STATIONS TRADING CENTRE AND TRADING MARKET il aa 18] BUNTUNGWA __ |PAINTING OF THE SOCIAL WELFARE — |PAINTING OF THE KITCHEN , Painting works and procurement of CHIBOLYA 12 weeks 150,000.00 150,000.00 |Chibolya Old People's Home kitchen wall ROCUR MENTOR PROCUREMENT OF STOVE stove and deep freezer OLD was in a bad state with no stove and deep STOVE AND DEEP AND DEEP FREEZER PEOPLE'S freezer for the old people hence, the need FREEZER HOME for the kitchen wall to be painted, stove and deep freezer. 19]KWACHA DRILLING OF 4 WATER & DRILLING 2 BOREHOLES Borehole drilling, installation of NSUNGENI 12 weeks 300,000.00 300,000.00 |The community school had no access to ROCHON CONMUNITY SANITATION submersible pump, construction of a. |COMMUNITY water hence, the need for the drilling of two SCHOOL steel tank stand, pipe work and SCHOOL boreholes at the school so that there is electrical(solar) installations availability of water. 20| BUFUKE DRILLING OF SOLAR | WATER & SANITATIO|DRILLING OF SOLAR Borehole drilling, installation of SECTION B |12 weeks 300,000.00 300,000.00 | There was no availability of water in the area COE OLE Hl sReTON PROPELLED BOREHOLE submersible pump, construction of a hence, the need for a borehole so that B steel tank stand, pipe work and people can have access to water electrical(solar) installations 21/BUFUKE CONSTRUCTION OF COMMUNITY DEVELC/CONSTRUCTION OF BUS Excavations, substructure, BUTONDO 14 weeks 190,000.00 190,000.00 | There was no bus shelter for travellers peptic anes STATION SHELTER superstructure work, roofing, MAIN BUS hence, the need for one to be constructed STATION Carpentry and Joinery, finishes, STATION so that travellers can have a bus shelter. painting and external work 22|BUTONDO COMPLETION OF MARKET & BUS COMPLETION OF PAVING OF Earth works, paving and kerb stone BUTONDO MA\25 weeks 450,000.00 450,000.00 | The Paving works at the market were not ip cdl BUTONDO | STATIONS BUTONDO MARKET completed hence the need for completion so that the pavina_of the market is done. 23/ JOHN KAMPENG OR EHORE WATER & SANITATIO/DRILLING OF SOLAR Borehole drilling, installation of JOHN KAMPEN 12 weeks 600,000.00 300,000.00 | There was no availability of water in the PROPELLED BOREHOLE submersible pump, construction of a steel tank stand, pipe work and electrical(solar) installations area, hence, the need for one solar propeliled borehole to be constructed so that people have water."||||26 WEEKS|1980000.00|198000.00||Kankoyo-Comm-Projects.pdf
Kankoyo|24||REHABILITATION OF AN|HEALTH|"REHABILITATION OF AN HEALTH REHABILITATION OF AN JOHN ares Demolitiion,painting, metal work, floor |CHIBOLYA 20 weeks 300,000.00 350,000.00 | The ablution block at the clinic was in a very prrartien rae ABLUTION BLOCK AT finish, plumbing , carpentry and CLINIC bad state hence, the need to rehabilitate it CHIBOLYA CLINIC external works so that the clinic has a decent ablution block | 25|JOHN KAMPENG|CONSTRUCTION OF AN | HEALTH CONSTRUCTION OF AN Excavations, substructure, CHIBOLYA 16 weeks 120,000.00 120,000.00 | The clinic had no incernerator hence, the Ce eaten sani et INCERNARATOR AT CHIBOLYA |superstructure work, roofing, metal |CLINIC need for it to be constructed so that the CLINIC work, Carpentry and Joinery, finishes, clinic has one painting and external work 26| Joint PROCUREMENT OF PROCUREMENT OF TENTS, Procurement of tents , chairs Pa 4 weeks 160,440.00 160,000.00 | There was no tents, chairs and PA Systems (CONSTITUENCI Heelies PA CHAIRS AND PA SYSTEMS FOR |systems for CDF functions hence, the need to ES) FUNCTIONS CDF FUNCTIONS procure them so as to enable effective sensitization of the community pertaining to CDF. 27} Joint RENOVATION AND PUBLIC INFRASTRUCTURE Demolition, painting, metal work, COMMITTEE ‘|20 weeks 317,182.36 150,000.00 | The committee room was in a very bad state (CONSTITUENCI OPAL ROOK plumbing , sealing of the roof , ROOM hence, the need to rehabilitation it so that it ES) carpentry and external works is conducive"||||20 WEEKS|300000.00|350000.00||Kankoyo-Comm-Projects.pdf
Kankoyo|28|ALL WARDS|"| JOINT CDF RADIO SHOWS COUNCIL MEDIA SECTOR"|COUNCIL|"| Joint CDF RADIO SHOWS COUNCIL Media Sector All Wards 24 weeks 400,000.00 400,000.00 |People were not aware of what CDF (CONSTITUENCI encompasses hence, this will increase ES) awareness in people pertaining to CDF projects"||||24 WEEKS|400000.00|400000.00||Kankoyo-Comm-Projects.pdf
Kankoyo|29|ALL WARDS|JOINT PROCUREMENT OF A JOINTLY PROCUREMENT OF A JOINTLY FUNDED||"Joint Procurement of a jointly Procurement of a jointly funded All Wards 12 weeks 3,832,640.00 900,000.00 | There was no Tipper available to use in road (CONSTITUENC] |funded grader grader works hence, the need for one so that road ES) works are carried out effectively"||||12 WEEKS|3832640.00|900000.00||Kankoyo-Comm-Projects.pdf
